ISO3,period,probability,year,era_mwtemp,era_mwprecip,cru_mwtemp,cru_mwprecip
ARG,1990-2020,0.99,1990,16.795871988932333,3.7069586008631936,16.40474518140157,87.49003585179646
ARG,2021-2100,0.99,1990,16.795871988932333,3.7069586008631936,16.40474518140157,87.49003585179646
ARM,1990-2020,0.65,1990,7.860902404785179,1.7785502423066646,6.494633545478185,39.47017447153727
ARM,2021-2100,0.71,1990,7.860902404785179,1.7785502423066646,6.494633545478185,39.47017447153727
ATF,1990-2020,0,1990,NA,NA,26.53333330154419,58.44166722893715
ATF,2021-2100,0,1990,NA,NA,26.53333330154419,58.44166722893715
AUS,1990-2020,0.99,1990,17.098280843098962,2.4661019657893726,16.1687486966451,77.32515462239583
AUS,2021-2100,0.99,1990,17.098280843098962,2.4661019657893726,16.1687486966451,77.32515462239583
AUT,1990-2020,0.6799999999999999,1990,8.369546508789085,2.7177233569091186,7.75293227036794,89.926675478617355
AUT,2021-2100,0.71,1990,8.369546508789085,2.7177233569091186,7.75293227036794,89.926675478617355
AZE,1990-2020,0.97,1990,13.450677490234398,1.5160574888189633,12.33356441060702,33.188417752583824
AZE,2021-2100,0.98,1990,13.450677490234398,1.5160574888189633,12.33356441060702,33.188417752583824
BDI,1990-2020,0.99,1990,20.163067118326865,5.843855136239047,20.31048822402954,102.5102025270462
BDI,2021-2100,0.99,1990,20.163067118326865,5.843855136239047,20.31048822402954,102.5102025270462
BEL,1990-2020,0.84,1990,10.875566101074241,2.1094942785566673,10.965807815392813,64.19844595591228
BEL,2021-2100,0.86,1990,10.875566101074241,2.1094942785566673,10.965807815392813,64.19844595591228
BEN,1990-2020,0.99,1990,26.80139821370443,3.2521244308251576,27.46494436264038,81.03357859452565
BEN,2021-2100,0.99,1990,26.80139821370443,3.2521244308251576,27.46494436264038,81.03357859452565
BFA,1990-2020,0.99,1990,28.575413004557333,1.4617600905732313,28.570057074228924,54.25104289932642
BFA,2021-2100,0.99,1990,28.575413004557333,1.4617600905732313,28.570057074228924,54.25104289932642
BGD,1990-2020,0.99,1990,24.539086914062523,6.882037079170307,25.576010545094807,203.59089078009129
BGD,2021-2100,0.99,1990,24.539086914062523,6.882037079170307,25.576010545094807,203.59089078009129
BGR,1990-2020,0.87,1990,11.22803649902346,1.62032221123809,10.860280205806097,39.35958584149679
BGR,2021-2100,0.92,1990,11.22803649902346,1.62032221123809,10.860280205806097,39.35958584149679
BHS,1990-2020,0.99,1990,24.925558980305993,2.409247691199804,25.128799438476562,96.9777930577596
BHS,2021-2100,0.99,1990,24.925558980305993,2.409247691199804,25.128799438476562,96.9777930577596
BIH,1990-2020,0.79,1990,10.41121317545577,2.547458755240465,10.020804765323797,67.47004095713298
BIH,2021-2100,0.86,1990,10.41121317545577,2.547458755240465,10.020804765323797,67.47004095713298
BLR,1990-2020,0.52,1990,7.888337707519554,2.405382392074292,8.041986212134361,57.56871779759725
BLR,2021-2100,0.5700000000000001,1990,7.888337707519554,2.405382392074292,8.041986212134361,57.56871779759725
BLZ,1990-2020,0.99,1990,24.836531575520837,4.657168445798258,25.355650901794434,216.3585058848063
BLZ,2021-2100,0.99,1990,24.836531575520837,4.657168445798258,25.355650901794434,216.3585058848063
BOL,1990-2020,0.98,1990,14.549556986490927,3.823034242183591,16.67968161900838,73.93526871999104
BOL,2021-2100,0.98,1990,14.549556986490927,3.823034242183591,16.67968161900838,73.93526871999104
BRA,1990-2020,0.99,1990,22.653621927897177,3.7395863910205662,22.875401973724365,108.81018193562825
BRA,2021-2100,0.99,1990,22.653621927897177,3.7395863910205662,22.875401973724365,108.81018193562825
BRN,1990-2020,0.99,1990,26.35430043538412,5.808334273751825,26.50460370381673,212.4681536356608
BRN,2021-2100,0.99,1990,26.35430043538412,5.808334273751825,26.50460370381673,212.4681536356608
BTN,1990-2020,0.98,1990,14.112420654296898,10.042694178991951,16.753830512364704,202.51688355207443
BTN,2021-2100,0.98,1990,14.112420654296898,10.042694178991951,16.753830512364704,202.51688355207443
BWA,1990-2020,0.99,1990,21.451168314615927,1.0808223206974314,21.463746150334675,25.99051887107392
BWA,2021-2100,0.99,1990,21.451168314615927,1.0808223206974314,21.463746150334675,25.99051887107392
CAF,1990-2020,0.99,1990,25.98517252604171,4.300444525142666,25.211758454640705,116.45223689079285
CAF,2021-2100,0.99,1990,25.98517252604171,4.300444525142666,25.211758454640705,116.45223689079285
CAN,1990-2020,0.32999999999999996,1990,5.82464497884115,2.968091993049408,5.969556028644244,92.94900099436443
CAN,2021-2100,0.41000000000000003,1990,5.82464497884115,2.968091993049408,5.969556028644244,92.94900099436443
CHE,1990-2020,0.65,1990,8.378218587239587,3.9777329269175725,7.0299559732278185,129.64275042215982
CHE,2021-2100,0.6799999999999999,1990,8.378218587239587,3.9777329269175725,7.0299559732278185,129.64275042215982
CHL,1990-2020,0.97,1990,13.574884033203148,1.7531041327553492,10.277528166770935,37.33170596758524
CHL,2021-2100,0.98,1990,13.574884033203148,1.7531041327553492,10.277528166770935,37.33170596758524
CHN,1990-2020,0.98,1990,14.54860331217452,3.691559448877039,14.317806949218115,87.11009017626445
CHN,2021-2100,0.98,1990,14.54860331217452,3.691559448877039,14.317806949218115,87.11009017626445
CIV,1990-2020,0.99,1990,25.590755716959677,3.803458093898371,26.500031153361004,102.78272136052449
CIV,2021-2100,0.99,1990,25.590755716959677,3.803458093898371,26.500031153361004,102.78272136052449
CMR,1990-2020,0.99,1990,24.57928365071615,5.631058108216773,25.21831687291463,140.13383976618448
CMR,2021-2100,0.99,1990,24.57928365071615,5.631058108216773,25.21831687291463,140.13383976618448
COD,1990-2020,0.99,1990,23.183066304524743,5.307811651922141,23.54519049326579,119.74032465616862
COD,2021-2100,0.99,1990,23.183066304524743,5.307811651922141,23.54519049326579,119.74032465616862
COG,1990-2020,0.99,1990,24.904036458333337,3.57661807599167,24.769267241160076,134.66794220606485
COG,2021-2100,0.99,1990,24.904036458333337,3.57661807599167,24.769267241160076,134.66794220606485
COL,1990-2020,0.99,1990,19.301853434244833,9.455294852765897,21.30713129043579,167.67985026041666
COL,2021-2100,0.99,1990,19.301853434244833,9.455294852765897,21.30713129043579,167.67985026041666
CRI,1990-2020,0.99,1990,21.03576812744143,8.199416217394173,24.44089428583781,255.04166475931802
CRI,2021-2100,0.99,1990,21.03576812744143,8.199416217394173,24.44089428583781,255.04166475931802
CUB,1990-2020,0.99,1990,25.39735819498702,2.5752165529411286,25.902314345041912,105.21743472417195
CUB,2021-2100,0.99,1990,25.39735819498702,2.5752165529411286,25.902314345041912,105.21743472417195
CYP,1990-2020,0.99,1990,19.51191864013674,0.49294060037633847,18.97694993019104,22.971631815036137
CYP,2021-2100,0.99,1990,19.51191864013674,0.49294060037633847,18.97694993019104,22.971631815036137
CZE,1990-2020,0.69,1990,8.889983113606775,1.8253200493442516,8.830449266980091,48.89147758483887
CZE,2021-2100,0.73,1990,8.889983113606775,1.8253200493442516,8.830449266980091,48.89147758483887
DEU,1990-2020,0.76,1990,9.904646809895837,2.3588327361115566,10.001931955416998,60.78605651855469
DEU,2021-2100,0.81,1990,9.904646809895837,2.3588327361115566,10.001931955416998,60.78605651855469
DJI,1990-2020,0.99,1990,28.251743570963583,0.6208761125208184,27.940900325775146,14.936385781814655
DJI,2021-2100,0.99,1990,28.251743570963583,0.6208761125208184,27.940900325775146,14.936385781814655
DNK,1990-2020,0.7,1990,9.547746276855491,2.2305971360765398,9.582601149876913,63.90702406565348
DNK,2021-2100,0.73,1990,9.547746276855491,2.2305971360765398,9.582601149876913,63.90702406565348
DOM,1990-2020,0.99,1990,24.28631744384768,3.3660938982696584,24.02192497253418,111.77285607655843
DOM,2021-2100,0.99,1990,24.28631744384768,3.3660938982696584,24.02192497253418,111.77285607655843
DZA,1990-2020,0.99,1990,17.218306477864587,1.2738807484614274,17.287666082382202,36.291151424249016
DZA,2021-2100,0.99,1990,17.218306477864587,1.2738807484614274,17.287666082382202,36.291151424249016
ECU,1990-2020,0.99,1990,18.65831654866537,6.229053270847847,19.70517937342326,105.63049030303955
ECU,2021-2100,0.99,1990,18.65831654866537,6.229053270847847,19.70517937342326,105.63049030303955
EGY,1990-2020,0.99,1990,21.733811950683616,0.08513486003873065,21.29015040397644,3.971711829304695
EGY,2021-2100,0.99,1990,21.733811950683616,0.08513486003873065,21.29015040397644,3.971711829304695
ESP,1990-2020,0.98,1990,14.945769246419275,1.471713888652933,14.420278787612915,41.52521347999573
ESP,2021-2100,0.98,1990,14.945769246419275,1.471713888652933,14.420278787612915,41.52521347999573
EST,1990-2020,0.45000000000000007,1990,6.845206197102868,2.3234275286085904,6.684759984413783,67.30559611320496
EST,2021-2100,0.49,1990,6.845206197102868,2.3234275286085904,6.684759984413783,67.30559611320496
ETH,1990-2020,0.99,1990,18.51978454589846,4.374634537574214,19.755542278289795,82.20010964075725
ETH,2021-2100,0.99,1990,18.51978454589846,4.374634537574214,19.755542278289795,82.20010964075725
FIN,1990-2020,0.24,1990,5.020285542805993,1.9864058801128217,4.753138325487574,50.43336661656698
FIN,2021-2100,0.31999999999999995,1990,5.020285542805993,1.9864058801128217,4.753138325487574,50.43336661656698
FJI,1990-2020,0.99,1990,24.032571411132835,6.245441870608677,24.02535104751587,222.61978816986084
FJI,2021-2100,0.99,1990,24.032571411132835,6.245441870608677,24.02535104751587,222.61978816986084
FLK,1990-2020,0,1990,6.749724324544275,1.909629698881569,5.953097899754842,48.073156674702965
